stcofips,year,month,tier,event_type,auc,auc_variance,pre_trend_annual,event_count,total_damage,log_damage,total_duration_days,episode_count,resl_score,resl_value,risk_value,eal_valt,sovi_score,nri_vintage
01003,2023,4,bottom,"Flash Flood,Hail,Thunderstorm Wind",-12.212998235140745,0.6273361011947683,-5.226802348400857,11,0.0,0.0,0.1763888888888889,3,86.32856461878445,2.7420073925808475,211924686.80761164,203087118.9462492,31.430394682201705,2023.0
01003,2023,4,mid,"Flash Flood,Hail,Thunderstorm Wind",-0.2933157309362855,0.17624760256267444,-3.386978776002119,11,0.0,0.0,0.1763888888888889,3,86.32856461878445,2.7420073925808475,211924686.80761164,203087118.9462492,31.430394682201705,2023.0
01003,2023,4,top,"Flash Flood,Hail,Thunderstorm Wind",-3.731217985652478,0.7073668957424122,-3.0681878437598584,11,0.0,0.0,0.1763888888888889,3,86.32856461878445,2.7420073925808475,211924686.80761164,203087118.9462492,31.430394682201705,2023.0
01007,2021,3,bottom,Tornado,-24.444425312856538,1.3337839793667807,6.185040513995166,4,0.0,0.0,0.06944444444444443,1,51.8076,2.59038,1470539.9338909432,2013888.4027677092,21.48206543160405,2020.0
01007,2021,3,mid,Tornado,-24.882028193235158,1.2955374320935582,2.651105142623976,4,0.0,0.0,0.06944444444444443,1,51.8076,2.59038,1470539.9338909432,2013888.4027677092,21.48206543160405,2020.0
01007,2021,3,top,Tornado,-32.66909521919487,1.9775469891419517,2.861776549343991,4,0.0,0.0,0.06944444444444443,1,51.8076,2.59038,1470539.9338909432,2013888.4027677092,21.48206543160405,2020.0
01011,2025,5,bottom,Tornado,-21.1263507281935,3.657181719142957,-4.208659207844391,2,0.0,0.0,0.015277777777777777,1,29.92620701215916,2.430833604246778,7820561.828703878,4639324.625182805,94.4855498381469,2023.0
01011,2025,5,mid,Tornado,15.968571852528271,1.028148028070005,2.967229814690844,2,0.0,0.0,0.015277777777777777,1,29.92620701215916,2.430833604246778,7820561.828703878,4639324.625182805,94.4855498381469,2023.0
01011,2025,5,top,Tornado,1.0310193077138763,0.46091352784966233,5.666721238418082,2,0.0,0.0,0.015277777777777777,1,29.92620701215916,2.430833604246778,7820561.828703878,4639324.625182805,94.4855498381469,2023.0
01013,2024,12,bottom,"Thunderstorm Wind,Tornado",-25.89864166346662,4.295764475643787,-3.4836288208805968,3,0.0,0.0,0.008333333333333333,1,46.23478608370765,2.506232710552734,12015996.976544525,8012206.99631363,83.27769152642756,2023.0
01013,2024,12,mid,"Thunderstorm Wind,Tornado",-20.177373586063638,3.665685748136383,-4.213007650622747,3,0.0,0.0,0.008333333333333333,1,46.23478608370765,2.506232710552734,12015996.976544525,8012206.99631363,83.27769152642756,2023.0
01013,2024,12,top,"Thunderstorm Wind,Tornado",-5.409488613929952,2.2159425863343656,-4.666586455725526,3,0.0,0.0,0.008333333333333333,1,46.23478608370765,2.506232710552734,12015996.976544525,8012206.99631363,83.27769152642756,2023.0
01021,2023,6,bottom,Hail,-23.24418498946804,1.7836763519992487,6.20150537271212,1,0.0,0.0,0.0006944444444444445,1,21.567059842739948,2.472448972741588,9024814.002644662,7080549.465304973,70.43710497245739,2023.0
01021,2023,6,mid,Hail,-3.668974004973876,0.594454074897155,1.6121085241415851,1,0.0,0.0,0.0006944444444444445,1,21.567059842739948,2.472448972741588,9024814.002644662,7080549.465304973,70.43710497245739,2023.0
01021,2023,6,top,Hail,-7.022109777873496,0.6321556360733798,0.37460711371109784,1,0.0,0.0,0.0006944444444444445,1,21.567059842739948,2.472448972741588,9024814.002644662,7080549.465304973,70.43710497245739,2023.0
01023,2024,5,bottom,Thunderstorm Wind,-31.58436294445322,2.8804545415766687,1.6997934820493203,1,0.0,0.0,0.001388888888888889,1,10.04204976622109,2.3753426890433906,21420209.61489755,14788175.869791534,74.78616295151753,2023.0
01023,2024,5,mid,Thunderstorm Wind,-9.755002888698357,0.668935231776453,-0.8305123954115553,1,0.0,0.0,0.001388888888888889,1,10.04204976622109,2.3753426890433906,21420209.61489755,14788175.869791534,74.78616295151753,2023.0
01023,2024,5,top,Thunderstorm Wind,-5.083728325393807,0.7843028995622761,-2.369759202108412,1,0.0,0.0,0.001388888888888889,1,10.04204976622109,2.3753426890433906,21420209.61489755,14788175.869791534,74.78616295151753,2023.0
01025,2023,4,bottom,Thunderstorm Wind,-33.30886116421311,4.591131838322985,-9.472123409254854,1,0.0,0.0,0.001388888888888889,1,22.594123204402084,2.4825830399302795,13340372.735018458,9219176.270358318,85.17422143448864,2023.0
01025,2023,4,mid,Thunderstorm Wind,-28.994031716632477,2.9861016368681628,-3.6640867650993605,1,0.0,0.0,0.001388888888888889,1,22.594123204402084,2.4825830399302795,13340372.735018458,9219176.270358318,85.17422143448864,2023.0
